0.0941	0.0974	0.0890	2.4222	0.0909	
0.0940	0.1019	0.2943	0.0914	0.0900	
0.0928	0.0920	0.0947	0.2738	0.0972	
0.5102	0.0991	0.0909	0.0849	0.0932	
0.5181	0.5824	0.0926	0.0924	0.0986	
0.1016	0.0939	0.2959	0.0987	0.0928	
0.0972	0.0932	0.0898	0.0851	0.5037	
0.4947	0.1000	0.0864	0.0896	0.0936	
0.0992	0.4654	0.0898	0.0924	0.0950	
0.0999	0.0944	0.4612	0.4507	0.0890	
0.0912	0.0974	0.0955	0.0868	2.0407	
0.0942	0.1010	0.2514	0.0926	0.0915	
0.0943	0.5295	0.0936	0.0937	0.4123	
0.5415	0.5892	0.0879	0.0942	0.0909	
0.0951	0.4833	0.0852	0.1000	0.0931	
0.4182	0.0980	0.0874	0.0854	0.4019	
0.0969	0.0978	0.2472	0.0922	0.0915	
0.0903	0.4746	0.0871	0.0877	0.0898	
0.1012	0.0940	0.2742	0.0984	0.1058	
0.4235	0.1004	0.2687	0.0955	0.0915	
0.0944	0.1020	0.0865	0.0908	2.0301	
0.0987	0.1000	0.2713	0.1028	0.0901	
0.4237	0.0975	0.0915	0.0924	0.4465	
0.5122	0.0900	0.0986	0.3078	0.0888	
0.0939	0.5648	0.2877	0.0916	0.0922	
0.5622	0.0940	0.6745	0.6832	0.5273	
0.0915	0.0949	0.0996	0.2457	0.0932	
0.0981	0.0989	0.0957	0.0913	0.4260	
0.0948	0.0898	0.2932	0.0963	0.0909	
0.5470	0.0985	0.1012	0.0990	0.5273	
0.0929	0.0947	0.2854	0.0961	0.0995	
0.0962	0.5417	0.0940	0.0888	0.1016	
0.0957	0.0987	0.2990	0.0919	0.4741	
0.5184	0.5653	0.0916	0.0877	0.0915	
0.0967	0.0934	0.2456	0.1005	0.0976	
0.4380	0.0944	0.0948	0.0952	0.0905	
0.0959	0.0964	0.0930	0.0876	0.3993	
0.4187	0.0953	0.0913	0.0928	0.0933	
0.5349	0.5762	0.3014	0.1011	0.4672	
0.0987	5.2237	1.6581	0.1036	0.1001	
0.5552	0.5987	0.0891	0.0937	0.0909	
0.4265	0.0935	0.0924	0.0913	0.0955	
0.0938	0.0973	0.0895	0.0906	0.4419	
0.0943	0.4630	0.0909	0.0920	0.0959	
0.0984	2.5586	0.0852	0.0866	0.0979	
0.5262	0.0950	0.0893	0.0879	0.0932	
0.0972	0.0975	0.2659	0.0921	0.0978	
0.0966	0.0950	0.0943	0.0912	0.4846	
0.0953	0.0973	0.0906	0.0922	0.5537	
0.0976	0.0960	0.0898	0.0947	0.4099	
0.4447	0.4806	0.0898	0.0885	0.0960	
0.4536	0.0974	0.2630	0.0990	0.0927	
